year,category,value
2,Expenses,500.17
3,Expenses,512.58
4,Expenses,404.17
2,Revenue,1257.97
3,Revenue,956.98
4,Revenue,912.17
2,Net Return to Enterprise,757.8
3,Net Return to Enterprise,444.4
4,Net Return to Enterprise,508
